"SKU","Title","Slug","Description","Department","Category","Brand","Price","Sale Price","Currency","Inventory","Status","Tags","Materials","Color","Size","Images","SEO Title","SEO Description","Collections","Publish"
"AM-HER-0011","Hermès Cavalcadour Silk Twill Scarf 90cm","hermes-cavalcadour-silk-twill-scarf-90cm","A hand-rolled 90cm silk twill scarf featuring the Cavalcadour equestrian print in a rich, jewel-toned colorway.","Hermès","hermes-scarves","Hermès","650","","USD","1","Active","scarf;silk;gift","100% Silk Twill","Multicolor","90cm x 90cm","https://example.com/sample-images/am-her-0011-1.jpg;https://example.com/sample-images/am-her-0011-2.jpg;https://example.com/sample-images/am-her-0011-3.jpg","Hermès Cavalcadour Silk Scarf | Amarisé Maison Avenue","Hermès Cavalcadour silk twill scarf, 90cm, equestrian motif in rich jewel tones.","Gift Guide;Luxury Essentials","true"
"AM-CHA-0001","Chanel Classic Medium Double Flap Black Caviar Gold Hardware","chanel-classic-medium-double-flap-black-caviar-gold-hardware","The definitive Chanel Classic Flap in scratch-resistant caviar leather, quilted in the signature diamond pattern with a gold CC turn-lock.","Chanel","chanel-flap-bags","Chanel","8900","7900","USD","1","Featured","classic-flap;caviar;black","Caviar Leather;Gold Hardware","Black","Medium","https://example.com/sample-images/am-cha-0001-1.jpg;https://example.com/sample-images/am-cha-0001-2.jpg;https://example.com/sample-images/am-cha-0001-3.jpg","Chanel Classic Medium Flap Black | Amarisé Maison Avenue","Chanel Classic Medium Double Flap in black caviar leather with gold CC turn-lock hardware.","Best Sellers;Classic Collection","true"
"AM-CHA-0002","Chanel Classic Jumbo Flap Beige Lambskin Gold Hardware","chanel-classic-jumbo-flap-beige-lambskin-gold-hardware","The Jumbo Flap in buttery-soft beige lambskin, offering extra capacity while keeping the timeless quilted silhouette.","Chanel","chanel-flap-bags","Chanel","9800","","USD","1","Active","classic-flap;lambskin;neutral","Lambskin Leather;Gold Hardware","Beige","Jumbo","https://example.com/sample-images/am-cha-0002-1.jpg;https://example.com/sample-images/am-cha-0002-2.jpg;https://example.com/sample-images/am-cha-0002-3.jpg","Chanel Jumbo Flap Beige Lambskin | Amarisé Maison Avenue","Oversized Chanel Jumbo Flap in soft beige lambskin with gold hardware.","Classic Collection","true"
"AM-CHA-0003","Chanel Mini Rectangular Flap Black Lambskin","chanel-mini-rectangular-flap-black-lambskin","A compact rectangular Mini Flap, perfect as a going-out bag, in black lambskin with polished silver hardware.","Chanel","chanel-classic-mini","Chanel","4500","","USD","1","New Arrival","mini-flap;black;compact","Lambskin Leather;Silver Hardware","Black","Mini","https://example.com/sample-images/am-cha-0003-1.jpg;https://example.com/sample-images/am-cha-0003-2.jpg;https://example.com/sample-images/am-cha-0003-3.jpg","Chanel Mini Rectangular Flap | Amarisé Maison Avenue","Compact Chanel Mini Rectangular Flap in black lambskin with silver hardware.","New Arrivals","true"
"AM-CHA-0004","Chanel 22 Bag Small Black Calfskin Silver Hardware","chanel-22-bag-small-black-calfskin-silver-hardware","A slouchy, modern hobo silhouette introduced by Chanel to mark its Fall 2022 collection, in soft black calfskin.","Chanel","chanel-22-bags","Chanel","5200","","USD","1","Active","chanel-22;hobo;modern","Calfskin Leather;Silver Hardware","Black","Small","https://example.com/sample-images/am-cha-0004-1.jpg;https://example.com/sample-images/am-cha-0004-2.jpg;https://example.com/sample-images/am-cha-0004-3.jpg","Chanel 22 Bag Small Black | Amarisé Maison Avenue","Chanel 22 hobo-style bag in small, black calfskin with silver CC charm.","Luxury Essentials","false"
"AM-CHA-0005","Chanel Deauville Tote Navy Canvas","chanel-deauville-tote-navy-canvas","A breezy canvas tote in navy, trimmed in leather with the oversized CC logo — Chanel’s answer to the everyday carryall.","Chanel","chanel-tote","Chanel","2800","","USD","1","Active","tote;canvas;summer","Canvas;Leather Trim","Navy","Large","https://example.com/sample-images/am-cha-0005-1.jpg;https://example.com/sample-images/am-cha-0005-2.jpg;https://example.com/sample-images/am-cha-0005-3.jpg","Chanel Deauville Tote Navy | Amarisé Maison Avenue","Chanel Deauville tote in navy canvas with leather trim, spacious everyday carryall.","Summer Edit","true"
"AM-CHA-0006","Chanel WOC Caviar Black Gold Hardware","chanel-woc-caviar-black-gold-hardware","The ever-popular Wallet on Chain in durable caviar leather, doubling as a compact crossbody with its long gold chain.","Chanel","chanel-wallet-on-chain","Chanel","3600","","USD","1","Active","woc;crossbody;black","Caviar Leather;Gold Hardware","Black","One Size","https://example.com/sample-images/am-cha-0006-1.jpg;https://example.com/sample-images/am-cha-0006-2.jpg;https://example.com/sample-images/am-cha-0006-3.jpg","Chanel Wallet on Chain Black | Amarisé Maison Avenue","Chanel Wallet on Chain in black caviar leather with gold hardware — wallet by day, crossbody by night.","Gift Guide;Luxury Essentials","true"
"AM-CHA-0007","Chanel Classic Zip Around Wallet Beige Caviar","chanel-classic-zip-around-wallet-beige-caviar","A practical zip-around wallet in structured beige caviar leather, quilted in the classic diamond pattern.","Chanel","chanel-wallets","Chanel","1450","","USD","1","Active","wallet;caviar;gift","Caviar Leather;Gold Hardware","Beige","One Size","https://example.com/sample-images/am-cha-0007-1.jpg;https://example.com/sample-images/am-cha-0007-2.jpg;https://example.com/sample-images/am-cha-0007-3.jpg","Chanel Zip Around Wallet Beige | Amarisé Maison Avenue","Chanel Classic Zip Around wallet in beige caviar leather with gold hardware.","Gift Guide","true"
"AM-CHA-0008","Chanel Cap Toe Ballet Flats Black Beige","chanel-cap-toe-ballet-flats-black-beige","The instantly recognizable two-tone cap-toe flat, a Chanel wardrobe staple since the 1950s.","Chanel","chanel-shoes","Chanel","980","850","USD","1","Active","flats;two-tone;shoes","Leather;Grosgrain Trim","Black / Beige","EU 38","https://example.com/sample-images/am-cha-0008-1.jpg;https://example.com/sample-images/am-cha-0008-2.jpg;https://example.com/sample-images/am-cha-0008-3.jpg","Chanel Cap Toe Ballet Flats | Amarisé Maison Avenue","Iconic Chanel two-tone cap-toe ballet flats, black and beige, size EU 38.","Classic Collection","false"
"AM-GOY-0001","Goyard St Louis PM Black Tote","goyard-st-louis-pm-black-tote","The house-defining St Louis tote in the classic PM size, black Goyardine canvas with contrast leather trim and rope handles.","Goyard","goyard-st-louis-bags","Goyard","2150","","USD","1","Active","tote;canvas;everyday","Goyardine Canvas;Leather Trim","Black","PM","https://example.com/sample-images/am-goy-0001-1.jpg;https://example.com/sample-images/am-goy-0001-2.jpg;https://example.com/sample-images/am-goy-0001-3.jpg","Goyard St Louis PM Black | Amarisé Maison Avenue","Goyard St Louis PM tote in black Goyardine canvas with the signature chevron print.","Luxury Essentials","true"
"AM-GOY-0002","Goyard Saigon Structured Tote Grey","goyard-saigon-structured-tote-grey","A more structured alternative to the St Louis, the Saigon offers a boxier silhouette in grey Goyardine canvas.","Goyard","goyard-saigon-bags","Goyard","2650","","USD","1","New Arrival","structured;grey;top-handle","Goyardine Canvas;Calfskin Leather","Grey","PM","https://example.com/sample-images/am-goy-0002-1.jpg;https://example.com/sample-images/am-goy-0002-2.jpg;https://example.com/sample-images/am-goy-0002-3.jpg","Goyard Saigon Tote Grey | Amarisé Maison Avenue","Structured Goyard Saigon tote in grey Goyardine canvas with calfskin trim.","New Arrivals","true"
"AM-GOY-0003","Goyard Anjou Mini Reversible Tote Black","goyard-anjou-mini-reversible-tote-black","A compact, fully reversible tote — Goyardine canvas on one side, smooth leather on the other — with detachable pouch.","Goyard","goyard-anjou-bags","Goyard","1850","","USD","1","Active","mini;reversible;compact","Goyardine Canvas;Leather","Black","Mini","https://example.com/sample-images/am-goy-0003-1.jpg;https://example.com/sample-images/am-goy-0003-2.jpg;https://example.com/sample-images/am-goy-0003-3.jpg","Goyard Anjou Mini Black | Amarisé Maison Avenue","Compact, reversible Goyard Anjou Mini tote in black.","Summer Edit","true"
"AM-GOY-0004","Goyard Artois PM Black Canvas","goyard-artois-pm-black-canvas","A softer, hobo-style silhouette in the signature Goyardine canvas, finished with a drawstring top and leather trim.","Goyard","goyard-artois-bags","Goyard","2400","","USD","1","Active","hobo;black;shoulder-bag","Goyardine Canvas;Leather Trim","Black","PM","https://example.com/sample-images/am-goy-0004-1.jpg;https://example.com/sample-images/am-goy-0004-2.jpg;https://example.com/sample-images/am-goy-0004-3.jpg","Goyard Artois PM Black | Amarisé Maison Avenue","Goyard Artois PM hobo-style shoulder bag in black Goyardine canvas.","Classic Collection","false"
"AM-OTH-0001","The Row Margaux 15 Bag Black Leather","the-row-margaux-15-bag-black-leather","The Row’s minimalist Margaux 15, a quietly luxurious top-handle silhouette in supple black calfskin.","Other Brands","the-row-bags","The Row","5600","","USD","1","Active","minimalist;black;top-handle","Calfskin Leather","Black","15","https://example.com/sample-images/am-oth-0001-1.jpg;https://example.com/sample-images/am-oth-0001-2.jpg;https://example.com/sample-images/am-oth-0001-3.jpg","The Row Margaux 15 Black | Amarisé Maison Avenue","The Row Margaux 15 top-handle bag in black calfskin leather.","Luxury Essentials","true"
"AM-OTH-0002","Louis Vuitton Neverfull MM Monogram Canvas","louis-vuitton-neverfull-mm-monogram-canvas","The ever-practical Neverfull MM in signature Monogram canvas, complete with removable pochette.","Other Brands","louis-vuitton-bags","Louis Vuitton","1890","","USD","1","Active","tote;monogram;everyday","Monogram Canvas;Leather Trim","Monogram Brown","MM","https://example.com/sample-images/am-oth-0002-1.jpg;https://example.com/sample-images/am-oth-0002-2.jpg;https://example.com/sample-images/am-oth-0002-3.jpg","Louis Vuitton Neverfull MM | Amarisé Maison Avenue","Louis Vuitton Neverfull MM tote in classic Monogram canvas.","Classic Collection","true"
"AM-OTH-0003","Christian Dior Lady Dior Medium Black Cannage Lambskin","christian-dior-lady-dior-medium-black-cannage-lambskin","The Lady Dior in its signature Cannage stitching, black lambskin with gold-tone D-I-O-R charms and top handles.","Other Brands","christian-dior-bags","Christian Dior","6800","6200","USD","1","Featured","lady-dior;cannage;black","Lambskin Leather;Gold Hardware","Black","Medium","https://example.com/sample-images/am-oth-0003-1.jpg;https://example.com/sample-images/am-oth-0003-2.jpg;https://example.com/sample-images/am-oth-0003-3.jpg","Christian Dior Lady Dior Medium Black | Amarisé Maison Avenue","Christian Dior Lady Dior medium bag in black Cannage-stitched lambskin.","Best Sellers","true"
"AM-OTH-0004","Fendi Baguette Medium FF Jacquard","fendi-baguette-medium-ff-jacquard","The bag that started the ""It bag"" era — Fendi’s Baguette in the iconic FF jacquard, tucked neatly under the arm.","Other Brands","fendi-bags","Fendi","3950","","USD","1","Active","baguette;jacquard;logo","FF Jacquard Fabric;Leather Trim","Brown / Tan","Medium","https://example.com/sample-images/am-oth-0004-1.jpg;https://example.com/sample-images/am-oth-0004-2.jpg;https://example.com/sample-images/am-oth-0004-3.jpg","Fendi Baguette Medium FF Jacquard | Amarisé Maison Avenue","Fendi Baguette in signature brown FF jacquard fabric with leather trim.","Classic Collection","false"
"AM-JEW-0001","Van Cleef & Arpels Alhambra Stud Earrings Mother of Pearl 18K Gold","van-cleef-arpels-alhambra-stud-earrings-mother-of-pearl-18k-gold","The iconic four-leaf clover motif in mother-of-pearl set in 18K yellow gold — a Van Cleef signature since 1968.","Jewelry","fine-jewelry-earrings","Van Cleef & Arpels","3200","","USD","1","Active","alhambra;mother-of-pearl;gift","18K Yellow Gold;Mother of Pearl","White / Gold","One Size","https://example.com/sample-images/am-jew-0001-1.jpg;https://example.com/sample-images/am-jew-0001-2.jpg;https://example.com/sample-images/am-jew-0001-3.jpg","Van Cleef Alhambra Earrings | Amarisé Maison Avenue","Van Cleef & Arpels Vintage Alhambra stud earrings in mother-of-pearl and 18K gold.","Gift Guide;Luxury Essentials","true"
"AM-JEW-0002","Cartier Love Necklace 18K Yellow Gold","cartier-love-necklace-18k-yellow-gold","A pendant necklace from Cartier’s Love collection, its screw-motif detailing rendered in warm 18K yellow gold.","Jewelry","fine-jewelry-necklaces","Cartier","7650","","USD","1","Featured","love-collection;gold;classic","18K Yellow Gold","Gold","40cm","https://example.com/sample-images/am-jew-0002-1.jpg;https://example.com/sample-images/am-jew-0002-2.jpg;https://example.com/sample-images/am-jew-0002-3.jpg","Cartier Love Necklace 18K Gold | Amarisé Maison Avenue","Cartier Love collection necklace in 18K yellow gold, 40cm chain.","Best Sellers;Luxury Essentials","true"
"AM-JEW-0003","Tiffany & Co. Solitaire Diamond Ring Platinum 1.2ct","tiffany-co-solitaire-diamond-ring-platinum-1-2ct","The legendary Tiffany Setting, a 1.2 carat round brilliant diamond raised in a six-prong platinum mount.","Jewelry","fine-jewelry-rings","Tiffany & Co.","18500","","USD","1","Active","diamond;platinum;bridal","Platinum;1.2ct Diamond","Platinum","US 6","https://example.com/sample-images/am-jew-0003-1.jpg;https://example.com/sample-images/am-jew-0003-2.jpg;https://example.com/sample-images/am-jew-0003-3.jpg","Tiffany Solitaire Ring 1.2ct | Amarisé Maison Avenue","Tiffany & Co. Setting solitaire engagement ring, 1.2ct diamond in platinum, US size 6.","Gift Guide","false"
"AM-JEW-0004","Vintage Chanel CC Logo Brooch Gold Tone","vintage-chanel-cc-logo-brooch-gold-tone","A vintage Chanel brooch featuring the interlocking CC logo in gold-tone metal, accented with faceted crystals.","Jewelry","jewelry-vintage","Chanel","850","720","USD","1","Active","brooch;vintage;gold-tone","Gold-Tone Metal;Crystal","Gold","One Size","https://example.com/sample-images/am-jew-0004-1.jpg;https://example.com/sample-images/am-jew-0004-2.jpg;https://example.com/sample-images/am-jew-0004-3.jpg","Vintage Chanel CC Brooch | Amarisé Maison Avenue","Vintage Chanel CC logo brooch in gold-tone metal with crystal accents.","Winter Edit","true"
"AM-JEW-0005","Bulgari Serpenti Viper Bracelet 18K Rose Gold","bulgari-serpenti-viper-bracelet-18k-rose-gold","Bulgari’s coiled Serpenti motif rendered in warm 18K rose gold, wrapping the wrist in the house’s signature scaled texture.","Jewelry","jewelry-contemporary","Bulgari","12900","","USD","1","New Arrival","serpenti;rose-gold;statement","18K Rose Gold","Rose Gold","Medium","https://example.com/sample-images/am-jew-0005-1.jpg;https://example.com/sample-images/am-jew-0005-2.jpg;https://example.com/sample-images/am-jew-0005-3.jpg","Bulgari Serpenti Viper Bracelet | Amarisé Maison Avenue","Bulgari Serpenti Viper bracelet in 18K rose gold, coiled snake motif.","New Arrivals;Winter Edit","true"
