id,priority,category,working_title,angle (why a reader cares),linked_entities,primary_sources_to_check,status,author,human_reviewer,fact_check_done,plagiarism_score,signed_off_date
P013,1,people,Messi: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",lionel-messi,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P014,1,people,Ronaldo: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",cristiano-ronaldo,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P015,1,people,Beyoncé: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",beyonce,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P016,1,people,LeBron James: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",lebron-james,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P017,2,people,Tom Hanks: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",tom-hanks,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P018,2,people,Steven Spielberg: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",steven-spielberg,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P019,2,people,MrBeast: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",mrbeast,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P020,2,people,Khaby Lame: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",khaby-lame,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P021,2,people,David Attenborough: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",david-attenborough,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P022,2,people,Kathleen Kennedy: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",kathleen-kennedy,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P023,2,people,Amal Clooney: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",amal-clooney,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P024,2,people,Sonia Sotomayor: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",sonia-sotomayor,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P025,2,people,Clarence Thomas: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",clarence-thomas,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P026,2,people,Jack Smith: the business and legal side of the career,"Contracts, IP, endorsements or litigation, only where public record exists",jack-smith,"Official filings, first-party statements, 2+ independent reputable outlets",planned,,,no,,
P027,1,movies,Movies story #1 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,forrest-gump; jaws; jurassic-park,"Studio/artist statements, trade press, filings",planned,,,no,,
P028,1,movies,Movies story #2 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,forrest-gump; jaws; jurassic-park,"Studio/artist statements, trade press, filings",planned,,,no,,
P029,1,movies,Movies story #3 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,forrest-gump; jaws; jurassic-park,"Studio/artist statements, trade press, filings",planned,,,no,,
P030,1,music,Music story #1 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,lemonade; renaissance,"Studio/artist statements, trade press, filings",planned,,,no,,
P031,1,music,Music story #2 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,lemonade; renaissance,"Studio/artist statements, trade press, filings",planned,,,no,,
P032,1,music,Music story #3 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,lemonade; renaissance,"Studio/artist statements, trade press, filings",planned,,,no,,
P033,1,television,Television story #1 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,the-oprah-winfrey-show,"Studio/artist statements, trade press, filings",planned,,,no,,
P034,1,television,Television story #2 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,the-oprah-winfrey-show,"Studio/artist statements, trade press, filings",planned,,,no,,
P035,1,television,Television story #3 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,the-oprah-winfrey-show,"Studio/artist statements, trade press, filings",planned,,,no,,
P036,1,streaming,Streaming story #1 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,our-planet,"Studio/artist statements, trade press, filings",planned,,,no,,
P037,1,streaming,Streaming story #2 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,our-planet,"Studio/artist statements, trade press, filings",planned,,,no,,
P038,1,streaming,Streaming story #3 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,our-planet,"Studio/artist statements, trade press, filings",planned,,,no,,
P039,1,celebrity-news,Celebrity news story #1 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,,"Studio/artist statements, trade press, filings",planned,,,no,,
P040,1,celebrity-news,Celebrity news story #2 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,,"Studio/artist statements, trade press, filings",planned,,,no,,
P041,1,celebrity-news,Celebrity news story #3 (topic chosen from live news that week),Only news we can source; explain the legal/business angle,,"Studio/artist statements, trade press, filings",planned,,,no,,
P042,3,sports,"How NBA franchises are structured: Lakers, Cavaliers, Heat","Ownership, salary cap, contracts explained",los-angeles-lakers; cleveland-cavaliers; miami-heat,NBA CBA public summary; team sites,planned,,,no,,
P043,3,sports,Inter Miami and Real Madrid: how player transfers actually work,Transfer rules for casual fans,inter-miami-cf; real-madrid-cf,FIFA regulations,planned,,,no,,
P044,3,topics,Defamation law: a viewer's guide,Topic hub intro + link list,defamation-law,"Statutes, restatements, court explainers",planned,,,no,,
P045,3,topics,Press freedom and the First Amendment,Topic hub intro,press-freedom,First Amendment case law,planned,,,no,,
P046,3,topics,Maritime law basics,Bridge to the cruise/offshore hubs,maritime-law,Federal maritime statutes,planned,,,no,,
